,bhk,type,area,price,price_unit,region,status
5515,3,Apartment,1600,3.2,Cr,Andheri,Ready to move
5519,1,Apartment,600,1.25,Cr,Andheri,Ready to move
5520,2,Apartment,1050,1.85,Cr,Andheri,Ready to move
5522,2,Apartment,700,1.5,Cr,Andheri,Ready to move
5524,2,Apartment,1150,1.8,Cr,Andheri,Ready to move
5525,2,Apartment,723,1.15,Cr,Andheri,Ready to move
6555,2,Apartment,625,1.53,Cr,Andheri,Under Construction
6976,1,Apartment,750,1.18,Cr,Andheri,Ready to move
7356,2,Apartment,887,2,Cr,Andheri,Under Construction
8227,2,Apartment,1150,2.15,Cr,Andheri,Ready to move
8252,2,Apartment,700,2.6,Cr,Andheri,Ready to move
8466,3,Apartment,900,2.7,Cr,Andheri,Ready to move
8538,2,Apartment,900,2.55,Cr,Andheri,Ready to move
8539,2,Apartment,800,2.2,Cr,Andheri,Ready to move
8577,3,Apartment,1300,2.6,Cr,Andheri,Ready to move
8578,3,Apartment,1200,3.5,Cr,Andheri,Ready to move
8579,2,Apartment,900,2.55,Cr,Andheri,Ready to move
8583,1,Apartment,650,68,L,Andheri,Ready to move
8855,3,Apartment,1851,1.14,Cr,Andheri,Ready to move
9103,2,Apartment,800,2.2,Cr,Andheri,Ready to move
9264,3,Apartment,940,2.79,Cr,Andheri,Under Construction
9385,2,Apartment,950,2.5,Cr,Andheri,Ready to move
9748,3,Apartment,1850,4.8,Cr,Andheri,Ready to move
10128,3,Apartment,980,2.8,Cr,Andheri,Ready to move
10149,2,Apartment,1400,2.3,Cr,Andheri,Ready to move
10744,2,Apartment,740,1.3,Cr,Andheri,Ready to move
10745,2,Apartment,1140,1.9,Cr,Andheri,Ready to move
11426,2,Apartment,1400,2.3,Cr,Andheri,Ready to move
11578,2,Apartment,1400,2.3,Cr,Andheri,Ready to move
11926,3,Apartment,1300,3.98,Cr,Andheri,Ready to move
11927,4,Apartment,2100,6.1,Cr,Andheri,Ready to move
11928,2,Apartment,1000,2.55,Cr,Andheri,Ready to move
11929,2,Apartment,700,1.57,Cr,Andheri,Ready to move
11930,1,Apartment,650,1.27,Cr,Andheri,Ready to move
11931,2,Apartment,1050,2.6,Cr,Andheri,Ready to move
12494,3,Apartment,1100,2.85,Cr,Andheri,Ready to move
12959,3,Apartment,1350,2.68,Cr,Andheri,Ready to move
13320,2,Apartment,875,2.4,Cr,Andheri,Ready to move
13727,3,Apartment,980,2.8,Cr,Andheri,Ready to move
15358,1,Apartment,530,1.42,Cr,Andheri,Under Construction
15359,2,Apartment,947,2.4,Cr,Andheri,Under Construction
15360,3,Apartment,1140,2.88,Cr,Andheri,Under Construction
15361,3,Apartment,1200,3.21,Cr,Andheri,Under Construction
15992,2,Apartment,1020,1.49,Cr,Andheri,Ready to move
16423,2,Apartment,900,1.72,Cr,Andheri,Under Construction
16474,2,Apartment,1150,2,Cr,Andheri,Ready to move
16655,1,Apartment,750,49.99,L,Andheri,Ready to move
16892,2,Apartment,1000,1.71,Cr,Andheri,Under Construction
16894,3,Apartment,1200,2.58,Cr,Andheri,Under Construction
16917,3,Apartment,1345,3.46,Cr,Andheri,Under Construction
17031,3,Apartment,980,2.8,Cr,Andheri,Ready to move
17288,2,Apartment,776,1.65,Cr,Andheri,Ready to move
18110,2,Apartment,1190,1.83,Cr,Andheri,Under Construction
18120,3,Apartment,1530,2.47,Cr,Andheri,Under Construction
18122,3,Apartment,1296,2.45,Cr,Andheri,Ready to move
18123,2,Apartment,1190,1.82,Cr,Andheri,Ready to move
18939,1,Apartment,650,25,L,Andheri,Under Construction
19008,2,Apartment,1150,1.88,Cr,Andheri,Ready to move
19009,8,Apartment,3700,9.85,Cr,Andheri,Ready to move
19042,3,Apartment,1100,2.95,Cr,Andheri,Under Construction
19043,2,Apartment,1000,2,Cr,Andheri,Ready to move
19044,2,Apartment,900,2.05,Cr,Andheri,Under Construction
19067,3,Apartment,1200,3.1,Cr,Andheri,Ready to move
19081,1,Studio Apartment,400,77,L,Andheri,Ready to move
19119,1,Apartment,600,1.2,Cr,Andheri,Ready to move
19128,2,Apartment,700,1.28,Cr,Andheri,Ready to move
19129,2,Apartment,950,1.45,Cr,Andheri,Ready to move
19130,2,Apartment,1000,1.45,Cr,Andheri,Ready to move
19213,1,Apartment,600,1,Cr,Andheri,Ready to move
19231,3,Apartment,1520,4.02,Cr,Andheri,Under Construction
19253,2,Apartment,835,1.4,Cr,Andheri,Ready to move
19265,1,Studio Apartment,500,92,L,Andheri,Ready to move
19288,3,Apartment,1600,2.9,Cr,Andheri,Ready to move
19289,3,Apartment,1820,3.8,Cr,Andheri,Ready to move
19291,3,Apartment,1450,3,Cr,Andheri,Ready to move
19297,2,Apartment,1300,2.65,Cr,Andheri,Ready to move
19306,3,Apartment,950,3,Cr,Andheri,Ready to move
19450,2,Apartment,550,38,L,Andheri,Under Construction
19455,1,Apartment,410,25,L,Andheri,Under Construction
