,bhk,type,area,price,price_unit,region,status
4600,3,Apartment,1500,4.75,Cr,Andheri,Ready to move
4601,2,Apartment,710,1.85,Cr,Andheri,Ready to move
4829,2,Apartment,680,2.47,Cr,Andheri,Under Construction
4841,3,Apartment,780,2.85,Cr,Andheri,Under Construction
4859,2,Apartment,680,1.95,Cr,Andheri,Ready to move
4970,3,Apartment,1120,4.25,Cr,Andheri,Ready to move
4972,2,Apartment,1200,2.5,Cr,Andheri,Ready to move
4973,2,Apartment,875,2.3,Cr,Andheri,Ready to move
4974,2,Apartment,1200,2.45,Cr,Andheri,Ready to move
4977,2,Apartment,1200,4.75,Cr,Andheri,Ready to move
4978,2,Apartment,800,2.5,Cr,Andheri,Ready to move
4980,3,Apartment,1120,4.25,Cr,Andheri,Ready to move
4981,2,Apartment,800,2.5,Cr,Andheri,Ready to move
5007,1,Apartment,450,68,L,Andheri,Ready to move
5121,1,Apartment,650,52,L,Andheri,Ready to move
5431,2,Apartment,950,76,L,Andheri,Ready to move
5505,2,Apartment,850,1.05,Cr,Andheri,Under Construction
5518,1,Apartment,800,1.2,Cr,Andheri,Under Construction
6584,2,Apartment,1100,3.3,Cr,Andheri,Ready to move
6761,1,Apartment,650,62,L,Andheri,Ready to move
7496,2,Apartment,954,2.1,Cr,Andheri,Ready to move
7592,1,Apartment,530,1.39,Cr,Andheri,Under Construction
7654,2,Apartment,1000,2.51,Cr,Andheri,Ready to move
7655,2,Apartment,970,2.5,Cr,Andheri,Ready to move
7790,3,Apartment,1230,4.5,Cr,Andheri,Ready to move
8373,3,Apartment,1475,3.6,Cr,Andheri,Ready to move
8377,3,Apartment,1110,2.37,Cr,Andheri,Ready to move
8380,6,Apartment,2140,6.8,Cr,Andheri,Ready to move
8500,4,Apartment,3100,15,Cr,Andheri,Ready to move
8501,4,Apartment,3100,15,Cr,Andheri,Ready to move
8508,5,Apartment,4000,18.7,Cr,Andheri,Ready to move
8518,5,Apartment,4000,18.7,Cr,Andheri,Ready to move
8552,3,Apartment,2400,12.5,Cr,Andheri,Ready to move
8553,5,Apartment,4450,28,Cr,Andheri,Ready to move
8554,6,Apartment,4200,18,Cr,Andheri,Ready to move
8555,5,Apartment,4450,28,Cr,Andheri,Ready to move
8556,6,Apartment,4200,18,Cr,Andheri,Ready to move
8558,5,Apartment,4100,15,Cr,Andheri,Ready to move
8559,9,Apartment,8500,30,Cr,Andheri,Ready to move
8560,4,Apartment,2600,10,Cr,Andheri,Ready to move
8561,3,Apartment,2000,8.5,Cr,Andheri,Ready to move
8562,4,Apartment,2750,11,Cr,Andheri,Ready to move
8563,6,Apartment,3700,14,Cr,Andheri,Ready to move
8564,4,Apartment,2600,10.5,Cr,Andheri,Ready to move
8565,6,Apartment,3300,13,Cr,Andheri,Ready to move
9019,3,Apartment,1395,4.1,Cr,Andheri,Ready to move
9067,4,Apartment,2800,15,Cr,Andheri,Ready to move
9068,4,Apartment,2500,11,Cr,Andheri,Ready to move
9074,2,Apartment,875,1.85,Cr,Andheri,Ready to move
9144,4,Apartment,1024,2.45,Cr,Andheri,Ready to move
9145,2,Apartment,1000,3.25,Cr,Andheri,Ready to move
9361,2,Apartment,1300,2.3,Cr,Andheri,Ready to move
9375,2,Apartment,950,2.1,Cr,Andheri,Ready to move
9423,2,Apartment,1020,2.5,Cr,Andheri,Ready to move
9424,2,Apartment,1050,2.1,Cr,Andheri,Ready to move
9425,3,Apartment,1300,2.1,Cr,Andheri,Ready to move
9442,3,Apartment,1500,3.6,Cr,Andheri,Ready to move
9601,1,Apartment,695,29,L,Andheri,Ready to move
9610,2,Apartment,815,39,L,Andheri,Ready to move
9732,2,Apartment,900,2.19,Cr,Andheri,Under Construction
9733,3,Apartment,1625,3.25,Cr,Andheri,Ready to move
9734,3,Apartment,1400,4.25,Cr,Andheri,Ready to move
9735,4,Apartment,2000,7.5,Cr,Andheri,Ready to move
9736,3,Apartment,1280,3.5,Cr,Andheri,Ready to move
9737,3,Apartment,1632,4.75,Cr,Andheri,Ready to move
9738,3,Apartment,1200,4.25,Cr,Andheri,Ready to move
9739,2,Apartment,800,2.6,Cr,Andheri,Ready to move
9740,4,Apartment,3300,9.5,Cr,Andheri,Ready to move
9741,3,Apartment,2000,4.5,Cr,Andheri,Ready to move
9742,3,Apartment,1700,3.8,Cr,Andheri,Ready to move
9743,5,Apartment,2500,13,Cr,Andheri,Ready to move
9744,2,Apartment,1024,3.2,Cr,Andheri,Ready to move
9747,4,Apartment,3000,12.5,Cr,Andheri,Ready to move
9749,2,Apartment,1000,2.6,Cr,Andheri,Ready to move
9750,3,Apartment,1800,5,Cr,Andheri,Ready to move
9751,3,Apartment,2400,4.5,Cr,Andheri,Ready to move
9762,1,Apartment,419,92.66,L,Andheri,Under Construction
9763,1,Apartment,532,1.17,Cr,Andheri,Under Construction
9764,1,Apartment,514,1.13,Cr,Andheri,Under Construction
9765,1,Apartment,516,1.14,Cr,Andheri,Under Construction
9766,1,Apartment,417,92.22,L,Andheri,Under Construction
9767,1,Apartment,491,1.08,Cr,Andheri,Under Construction
9768,1,Apartment,427,94.43,L,Andheri,Under Construction
9769,1,Apartment,418,92.44,L,Andheri,Under Construction
9770,1,Apartment,501,1.1,Cr,Andheri,Under Construction
9771,2,Apartment,578,1.23,Cr,Andheri,Under Construction
9772,1,Apartment,416,92,L,Andheri,Under Construction
10255,1,Apartment,459,1.49,Cr,Andheri,Under Construction
10256,1,Apartment,426,1.37,Cr,Andheri,Under Construction
10257,1,Apartment,459,1.49,Cr,Andheri,Under Construction
10258,1,Apartment,417,1.34,Cr,Andheri,Under Construction
10259,1,Apartment,459,1.49,Cr,Andheri,Under Construction
10260,1,Apartment,459,1.49,Cr,Andheri,Under Construction
10261,1,Apartment,426,1.37,Cr,Andheri,Under Construction
10262,1,Apartment,426,1.37,Cr,Andheri,Under Construction
10263,1,Apartment,417,1.34,Cr,Andheri,Under Construction
10264,1,Apartment,417,1.34,Cr,Andheri,Under Construction
10265,2,Apartment,575,1.87,Cr,Andheri,Under Construction
10266,2,Apartment,575,1.87,Cr,Andheri,Under Construction
10267,2,Apartment,628,2.03,Cr,Andheri,Under Construction
10268,2,Apartment,628,2.03,Cr,Andheri,Under Construction
10289,2,Apartment,680,2.3,Cr,Andheri,Under Construction
10290,3,Apartment,1354,4.95,Cr,Andheri,Under Construction
10291,2,Apartment,760,2.75,Cr,Andheri,Under Construction
10292,2,Apartment,680,2.3,Cr,Andheri,Under Construction
10293,2,Apartment,680,2.3,Cr,Andheri,Under Construction
10294,3,Apartment,1354,4.95,Cr,Andheri,Under Construction
10295,3,Apartment,1354,4.95,Cr,Andheri,Under Construction
10296,2,Apartment,760,2.75,Cr,Andheri,Under Construction
10297,2,Apartment,760,2.75,Cr,Andheri,Under Construction
10298,3,Apartment,900,3.3,Cr,Andheri,Under Construction
10299,3,Apartment,900,3.3,Cr,Andheri,Under Construction
10300,3,Apartment,900,3.3,Cr,Andheri,Under Construction
10301,3,Apartment,900,3.3,Cr,Andheri,Under Construction
10302,3,Apartment,790,2.89,Cr,Andheri,Under Construction
10303,3,Apartment,790,2.89,Cr,Andheri,Under Construction
10304,3,Apartment,805,2.95,Cr,Andheri,Under Construction
10305,3,Apartment,805,2.95,Cr,Andheri,Under Construction
10306,3,Apartment,765,2.79,Cr,Andheri,Under Construction
10307,3,Apartment,765,2.79,Cr,Andheri,Under Construction
10308,2,Apartment,665,2.39,Cr,Andheri,Under Construction
10309,2,Apartment,665,2.39,Cr,Andheri,Under Construction
11155,1,Apartment,615,95,L,Andheri,Under Construction
12084,2,Apartment,1150,4.25,Cr,Andheri,Ready to move
12268,2,Apartment,1100,2.75,Cr,Andheri,Ready to move
12319,3,Apartment,1400,2.85,Cr,Andheri,Ready to move
12410,1,Apartment,508,39.99,L,Andheri,Ready to move
12874,2,Apartment,640,2.04,Cr,Andheri,Ready to move
12875,2,Apartment,640,2.04,Cr,Andheri,Ready to move
12876,2,Apartment,640,2.04,Cr,Andheri,Ready to move
12877,2,Apartment,640,2.04,Cr,Andheri,Ready to move
12898,5,Apartment,2700,2.25,Cr,Andheri,Ready to move
13012,5,Apartment,1800,2.25,Cr,Andheri,Ready to move
13014,2,Apartment,680,1.4,Cr,Andheri,Ready to move
13049,3,Apartment,1400,4.5,Cr,Andheri,Ready to move
13050,3,Apartment,1400,3.65,Cr,Andheri,Ready to move
13051,1,Apartment,475,1,Cr,Andheri,Ready to move
13052,1,Apartment,472,95,L,Andheri,Ready to move
13053,2,Apartment,865,2.5,Cr,Andheri,Ready to move
13054,3,Apartment,1450,3.8,Cr,Andheri,Ready to move
13055,3,Apartment,1550,4.75,Cr,Andheri,Ready to move
13056,2,Apartment,725,1.7,Cr,Andheri,Ready to move
13059,3,Apartment,1450,4.51,Cr,Andheri,Ready to move
13084,2,Apartment,1000,80,L,Andheri,Ready to move
13150,3,Apartment,2126,5.1,Cr,Andheri,Ready to move
13151,1,Apartment,500,1.05,Cr,Andheri,Ready to move
13152,2,Apartment,1100,2.45,Cr,Andheri,Ready to move
13153,2,Apartment,850,1.75,Cr,Andheri,Ready to move
13154,3,Apartment,1650,4.15,Cr,Andheri,Ready to move
13158,3,Apartment,1400,3.6,Cr,Andheri,Ready to move
13161,3,Apartment,2126,5.1,Cr,Andheri,Ready to move
13162,1,Apartment,500,1.05,Cr,Andheri,Ready to move
13163,2,Apartment,1100,2.45,Cr,Andheri,Ready to move
13256,2,Apartment,800,1.65,Cr,Andheri,Ready to move
13312,2,Apartment,1150,3.25,Cr,Andheri,Ready to move
13313,2,Apartment,1100,1.7,Cr,Andheri,Ready to move
13314,1,Apartment,450,1.15,Cr,Andheri,Ready to move
13315,3,Apartment,1400,4,Cr,Andheri,Ready to move
13316,3,Apartment,1400,3.5,Cr,Andheri,Ready to move
13317,1,Apartment,545,1.41,Cr,Andheri,Ready to move
13318,1,Apartment,550,1.4,Cr,Andheri,Ready to move
13319,3,Apartment,1550,4.7,Cr,Andheri,Ready to move
13321,3,Apartment,1850,6,Cr,Andheri,Ready to move
13322,3,Apartment,1400,4,Cr,Andheri,Ready to move
13323,1,Apartment,605,1.5,Cr,Andheri,Ready to move
13600,2,Apartment,1250,2.75,Cr,Andheri,Ready to move
14000,2,Apartment,910,2.65,Cr,Andheri,Ready to move
14336,2,Apartment,1300,1.2,Cr,Andheri,Ready to move
14469,2,Apartment,1020,2.05,Cr,Andheri,Ready to move
14470,2,Apartment,806,1.8,Cr,Andheri,Under Construction
14471,2,Apartment,812,1.7,Cr,Andheri,Ready to move
15184,2,Apartment,1050,2.15,Cr,Andheri,Ready to move
15987,2,Apartment,1058,1.66,Cr,Andheri,Ready to move
15991,3,Apartment,1700,4.8,Cr,Andheri,Ready to move
16918,2,Apartment,1040,2.49,Cr,Andheri,Ready to move
16930,3,Apartment,1500,5.1,Cr,Andheri,Ready to move
17033,2,Apartment,1100,2.55,Cr,Andheri,Ready to move
17155,2,Apartment,1180,2.48,Cr,Andheri,Ready to move
17521,2,Apartment,900,1.98,Cr,Andheri,Ready to move
17908,2,Apartment,900,2.7,Cr,Andheri,Ready to move
17909,1,Apartment,650,1.35,Cr,Andheri,Ready to move
17918,1,Apartment,600,1.6,Cr,Andheri,Ready to move
17919,3,Apartment,1750,3.1,Cr,Andheri,Ready to move
17920,2,Apartment,900,1.8,Cr,Andheri,Ready to move
18143,1,Apartment,600,90,L,Andheri,Under Construction
18314,5,Apartment,2750,12,Cr,Andheri,Ready to move
18315,3,Apartment,1800,6.5,Cr,Andheri,Ready to move
18401,3,Apartment,1600,3.6,Cr,Andheri,Ready to move
18406,5,Apartment,2550,6.25,Cr,Andheri,Ready to move
18444,4,Apartment,2200,8.25,Cr,Andheri,Ready to move
18445,3,Apartment,1525,3.85,Cr,Andheri,Ready to move
18545,2,Apartment,726,2.55,Cr,Andheri,Ready to move
18740,2,Apartment,800,1.6,Cr,Andheri,Ready to move
18800,3,Apartment,1950,5.5,Cr,Andheri,Ready to move
18804,1,Apartment,600,1.25,Cr,Andheri,Ready to move
18881,3,Apartment,1632,4.25,Cr,Andheri,Ready to move
19045,2,Apartment,750,2.49,Cr,Andheri,Ready to move
19058,1,Apartment,650,1.25,Cr,Andheri,Under Construction
19214,3,Apartment,1300,2.85,Cr,Andheri,Ready to move
19229,3,Apartment,1300,2.85,Cr,Andheri,Ready to move
19307,3,Apartment,1200,2.85,Cr,Andheri,Ready to move
19838,4,Apartment,1800,4.25,Cr,Andheri,Ready to move
19839,4,Apartment,1680,2.9,Cr,Andheri,Ready to move
19840,4,Apartment,1900,4,Cr,Andheri,Ready to move
20284,2,Apartment,1040,2.49,Cr,Andheri,Ready to move
20285,2,Apartment,1250,2.8,Cr,Andheri,Ready to move
20286,2,Apartment,1110,2.7,Cr,Andheri,Ready to move
20290,2,Apartment,1180,2.48,Cr,Andheri,Ready to move
20339,3,Apartment,1295,4.6,Cr,Andheri,Ready to move
20389,2,Apartment,1020,2.5,Cr,Andheri,Ready to move
20394,2,Apartment,1050,2.55,Cr,Andheri,Ready to move
20428,2,Apartment,920,1.77,Cr,Andheri,Ready to move
20483,3,Apartment,1600,3.9,Cr,Andheri,Ready to move
20668,1,Apartment,605,80,L,Andheri,Ready to move
20832,1,Apartment,530,1.35,Cr,Andheri,Ready to move
20871,1,Apartment,600,1.35,Cr,Andheri,Ready to move
20941,2,Apartment,960,2.85,Cr,Andheri,Ready to move
20942,1,Apartment,430,1.01,Cr,Andheri,Ready to move
20949,3,Apartment,1250,3,Cr,Andheri,Ready to move
20997,2,Apartment,937,2.75,Cr,Andheri,Ready to move
21041,2,Apartment,900,2.25,Cr,Andheri,Ready to move
21044,3,Apartment,1500,6.25,Cr,Andheri,Ready to move
21048,1,Apartment,550,1.35,Cr,Andheri,Ready to move
21127,1,Apartment,600,1.5,Cr,Andheri,Ready to move
21303,2,Apartment,900,2.35,Cr,Andheri,Ready to move
21417,3,Apartment,1250,6.25,Cr,Andheri,Under Construction
21418,2,Apartment,900,2.15,Cr,Andheri,Ready to move
21419,4,Apartment,3500,13,Cr,Andheri,Ready to move
21424,1,Apartment,550,1.57,Cr,Andheri,Under Construction
21427,3,Apartment,2000,6,Cr,Andheri,Ready to move
21492,2,Apartment,850,1.95,Cr,Andheri,Ready to move
21786,2,Apartment,915,2.15,Cr,Andheri,Ready to move
21814,3,Apartment,1250,3.7,Cr,Andheri,Ready to move
21815,2,Apartment,1000,2.7,Cr,Andheri,Ready to move
21854,2,Apartment,1000,2.45,Cr,Andheri,Ready to move
22214,2,Apartment,900,1.85,Cr,Andheri,Under Construction
22216,2,Apartment,995,2.49,Cr,Andheri,Under Construction
23874,1,Apartment,650,1.6,Cr,Andheri,Ready to move
24244,1,Apartment,1050,1.35,Cr,Andheri,Ready to move
24246,2,Apartment,500,1.56,Cr,Andheri,Under Construction
24253,1,Apartment,1100,2.7,Cr,Andheri,Ready to move
24254,1,Apartment,1100,2.3,Cr,Andheri,Ready to move
24255,3,Apartment,2350,6.5,Cr,Andheri,Ready to move
24256,1,Apartment,1100,2.4,Cr,Andheri,Ready to move
24257,1,Apartment,1100,2.6,Cr,Andheri,Ready to move
24266,4,Apartment,3100,5.9,Cr,Andheri,Ready to move
24267,3,Apartment,3150,3.9,Cr,Andheri,Ready to move
24269,2,Apartment,1450,2.9,Cr,Andheri,Ready to move
24275,5,Apartment,3200,6.6,Cr,Andheri,Ready to move
24277,3,Apartment,3250,5.7,Cr,Andheri,Ready to move
24352,2,Apartment,1100,2.8,Cr,Andheri,Ready to move
25010,1,Apartment,330,1.1,Cr,Andheri,Under Construction
25011,2,Apartment,450,1.6,Cr,Andheri,Under Construction
25012,2,Apartment,580,1.79,Cr,Andheri,Under Construction
25013,1,Apartment,309,99,L,Andheri,Under Construction
25383,2,Apartment,774,43,L,Andheri,Ready to move
25422,2,Apartment,1100,87,L,Andheri,Ready to move
25425,3,Apartment,1600,4.6,Cr,Andheri,Ready to move
25485,2,Apartment,500,1.53,Cr,Andheri,Under Construction
25486,3,Apartment,902,2.92,Cr,Andheri,Under Construction
25487,2,Apartment,693,1.92,Cr,Andheri,Under Construction
25488,3,Apartment,857,2.74,Cr,Andheri,Under Construction
25489,1,Apartment,375,1.15,Cr,Andheri,Under Construction
25490,1,Apartment,441,1.22,Cr,Andheri,Under Construction
25513,3,Apartment,1350,2.99,Cr,Andheri,Ready to move
25791,2,Apartment,950,2.59,Cr,Andheri,Ready to move
26488,2,Apartment,659,2.11,Cr,Andheri,Under Construction
26698,3,Apartment,759,3.03,Cr,Andheri,Ready to move
26699,5,Apartment,1610,6.44,Cr,Andheri,Ready to move
26700,3,Apartment,910,3.64,Cr,Andheri,Ready to move
26701,4,Apartment,1469,5.87,Cr,Andheri,Ready to move
26702,4,Apartment,1130,4.52,Cr,Andheri,Ready to move
26703,4,Apartment,1490,5.96,Cr,Andheri,Ready to move
26704,4,Apartment,1160,4.64,Cr,Andheri,Ready to move
27400,1,Apartment,500,1.05,Cr,Andheri,Ready to move
27427,1,Apartment,545,1.1,Cr,Andheri,Under Construction
27429,2,Apartment,1015,1.6,Cr,Andheri,Ready to move
27507,1,Apartment,540,1.1,Cr,Andheri,Ready to move
28339,1,Studio Apartment,365,72,L,Andheri,Ready to move
28343,5,Apartment,7600,22,Cr,Andheri,Ready to move
28729,2,Apartment,916,2.15,Cr,Andheri,Ready to move
28730,2,Apartment,960,3.25,Cr,Andheri,Ready to move
28731,3,Apartment,1100,3,Cr,Andheri,Ready to move
28733,1,Apartment,650,1.5,Cr,Andheri,Under Construction
28734,3,Apartment,1400,3.2,Cr,Andheri,Ready to move
28741,1,Apartment,667,1.32,Cr,Andheri,Under Construction
28742,2,Apartment,902,2.07,Cr,Andheri,Under Construction
28748,1,Apartment,616,90,L,Andheri,Under Construction
28753,2,Apartment,850,1.76,Cr,Andheri,Under Construction
28754,2,Apartment,948,2.6,Cr,Andheri,Under Construction
28755,1,Apartment,509,1.42,Cr,Andheri,Ready to move
28917,3,Apartment,1220,3.1,Cr,Andheri,Ready to move
28924,3,Apartment,1318,4.6,Cr,Andheri,Ready to move
28937,2,Apartment,1002,3.25,Cr,Andheri,Ready to move
29072,2,Apartment,1000,2.55,Cr,Andheri,Ready to move
29074,2,Apartment,900,2.3,Cr,Andheri,Ready to move
29075,4,Apartment,1900,5.5,Cr,Andheri,Ready to move
29076,3,Apartment,1850,5.25,Cr,Andheri,Ready to move
29078,3,Apartment,1400,3.2,Cr,Andheri,Ready to move
29079,2,Apartment,1000,2.25,Cr,Andheri,Ready to move
29080,1,Apartment,700,1.6,Cr,Andheri,Ready to move
29155,2,Apartment,501,1.74,Cr,Andheri,Under Construction
29229,2,Apartment,655,1.65,Cr,Andheri,Ready to move
29319,1,Apartment,575,42,L,Andheri,Ready to move
29399,4,Apartment,3400,27.5,Cr,Andheri,Ready to move
29400,4,Apartment,3400,27.5,Cr,Andheri,Ready to move
29480,1,Apartment,470,1.2,Cr,Andheri,Ready to move
29576,2,Apartment,1000,2.9,Cr,Andheri,Ready to move
29857,2,Apartment,1200,1.9,Cr,Andheri,Ready to move
29858,1,Apartment,416,95.72,L,Andheri,Under Construction
29859,1,Apartment,427,98.17,L,Andheri,Under Construction
29860,2,Apartment,578,1.32,Cr,Andheri,Under Construction
29861,2,Apartment,489,1.13,Cr,Andheri,Under Construction
30080,1,Studio Apartment,250,75,L,Andheri,Ready to move
30081,2,Apartment,750,2.2,Cr,Andheri,Ready to move
30082,2,Apartment,1011,2.41,Cr,Andheri,Ready to move
30085,1,Apartment,650,1.12,Cr,Andheri,Ready to move
30125,3,Apartment,1650,3.9,Cr,Andheri,Ready to move
30138,2,Apartment,765,2.3,Cr,Andheri,Ready to move
30140,4,Apartment,2215,6.5,Cr,Andheri,Ready to move
30224,2,Apartment,937,2.7,Cr,Andheri,Ready to move
30227,2,Apartment,1000,3,Cr,Andheri,Ready to move
30272,3,Apartment,1250,3.65,Cr,Andheri,Ready to move
30457,1,Apartment,550,1.05,Cr,Andheri,Ready to move
30460,1,Apartment,500,1.25,Cr,Andheri,Ready to move
30503,1,Apartment,590,90,L,Andheri,Under Construction
30504,2,Apartment,700,95,L,Andheri,Under Construction
30512,3,Apartment,1650,5.5,Cr,Andheri,Ready to move
30513,2,Apartment,850,2.85,Cr,Andheri,Ready to move
30546,2,Apartment,935,3.35,Cr,Andheri,Ready to move
30574,2,Apartment,957,1.82,Cr,Andheri,Under Construction
30673,2,Apartment,950,3.9,Cr,Andheri,Ready to move
30674,3,Apartment,1450,3.85,Cr,Andheri,Ready to move
30675,3,Apartment,1632,4.75,Cr,Andheri,Ready to move
30677,2,Apartment,1000,4,Cr,Andheri,Ready to move
30742,3,Apartment,1400,3.8,Cr,Andheri,Ready to move
30759,2,Apartment,750,2.5,Cr,Andheri,Under Construction
30782,4,Apartment,1400,5.6,Cr,Andheri,Ready to move
30783,3,Apartment,1300,4.35,Cr,Andheri,Ready to move
30786,1,Apartment,500,95,L,Andheri,Ready to move
30818,2,Apartment,750,1.9,Cr,Andheri,Ready to move
30823,4,Apartment,2250,12,Cr,Andheri,Ready to move
30832,7,Apartment,6660,29.5,Cr,Andheri,Ready to move
30834,8,Apartment,7500,50,Cr,Andheri,Ready to move
30838,6,Apartment,3250,15.15,Cr,Andheri,Ready to move
30861,3,Apartment,1500,6,Cr,Andheri,Ready to move
30862,4,Apartment,2653,6.75,Cr,Andheri,Under Construction
30863,4,Apartment,2672,6.5,Cr,Andheri,Under Construction
31020,2,Apartment,948,2.6,Cr,Andheri,Under Construction
31029,3,Apartment,1318,4.6,Cr,Andheri,Ready to move
31201,2,Apartment,1200,3.75,Cr,Andheri,Ready to move
31258,2,Apartment,1000,2.9,Cr,Andheri,Ready to move
31354,1,Studio Apartment,512,91,L,Andheri,Ready to move
31363,2,Apartment,820,2.2,Cr,Andheri,Under Construction
31364,3,Apartment,890,2.6,Cr,Andheri,Under Construction
31365,3,Apartment,1100,3,Cr,Andheri,Under Construction
31373,1,Apartment,575,82,L,Andheri,Under Construction
31444,1,Apartment,561,95,L,Andheri,Ready to move
31481,3,Apartment,1600,4,Cr,Andheri,Ready to move
31660,2,Apartment,850,2.2,Cr,Andheri,Ready to move
31672,3,Apartment,1500,5.9,Cr,Andheri,Under Construction
31812,3,Apartment,1100,3.3,Cr,Andheri,Under Construction
31839,2,Apartment,1050,3.7,Cr,Andheri,Ready to move
31962,2,Apartment,985,2.7,Cr,Andheri,Ready to move
31964,3,Apartment,1850,5.82,Cr,Andheri,Ready to move
31990,3,Apartment,846,2.1,Cr,Andheri,Under Construction
32000,4,Apartment,2400,7.3,Cr,Andheri,Ready to move
32046,5,Apartment,3100,15,Cr,Andheri,Ready to move
32058,1,Apartment,450,1.32,Cr,Andheri,Ready to move
32111,4,Apartment,1700,4.85,Cr,Andheri,Ready to move
32114,2,Apartment,940,2.55,Cr,Andheri,Ready to move
32240,4,Apartment,2170,4.66,Cr,Andheri,Under Construction
32532,3,Apartment,901,3.15,Cr,Andheri,Under Construction
32539,3,Apartment,1100,3.65,Cr,Andheri,Ready to move
32540,3,Apartment,1400,2.75,Cr,Andheri,Ready to move
32541,5,Apartment,2280,5.22,Cr,Andheri,Under Construction
32542,1,Apartment,620,1.3,Cr,Andheri,Ready to move
32568,3,Apartment,2000,10.35,Cr,Andheri,Ready to move
32670,3,Apartment,1185,2.3,Cr,Andheri,Ready to move
32675,3,Apartment,1800,6.25,Cr,Andheri,Ready to move
32683,2,Apartment,850,1.75,Cr,Andheri,Ready to move
32684,2,Apartment,920,1.72,Cr,Andheri,Ready to move
32691,2,Apartment,659,2.19,Cr,Andheri,Under Construction
32692,2,Apartment,748,2.6,Cr,Andheri,Under Construction
32693,4,Apartment,1780,6.28,Cr,Andheri,Under Construction
32694,2,Apartment,659,2.26,Cr,Andheri,Under Construction
32695,2,Apartment,748,2.65,Cr,Andheri,Under Construction
32696,3,Apartment,1031,3.73,Cr,Andheri,Under Construction
32697,4,Apartment,1780,6.38,Cr,Andheri,Under Construction
32698,2,Apartment,748,2.72,Cr,Andheri,Under Construction
32699,3,Apartment,1031,3.81,Cr,Andheri,Under Construction
32700,4,Apartment,1320,4.62,Cr,Andheri,Under Construction
32701,3,Apartment,1400,4,Cr,Andheri,Ready to move
32702,3,Apartment,1800,3.25,Cr,Andheri,Ready to move
32731,1,Apartment,768,1.52,Cr,Andheri,Under Construction
32732,3,Apartment,1632,4.75,Cr,Andheri,Ready to move
32738,3,Apartment,1761,5.5,Cr,Andheri,Under Construction
32741,2,Apartment,900,2.2,Cr,Andheri,Ready to move
32742,2,Apartment,1050,2.5,Cr,Andheri,Ready to move
32796,3,Apartment,805,2.9,Cr,Andheri,Under Construction
32861,5,Apartment,3750,25,Cr,Andheri,Ready to move
32862,3,Apartment,1964,12,Cr,Andheri,Ready to move
32867,2,Apartment,608,1.79,Cr,Andheri,Under Construction
32868,2,Apartment,552,1.62,Cr,Andheri,Under Construction
32869,3,Apartment,882,2.6,Cr,Andheri,Under Construction
32942,2,Apartment,500,2.19,Cr,Andheri,Under Construction
32943,2,Apartment,500,2.19,Cr,Andheri,Under Construction
32944,3,Apartment,902,3.25,Cr,Andheri,Under Construction
32945,3,Apartment,902,3.25,Cr,Andheri,Under Construction
32946,2,Apartment,693,2.3,Cr,Andheri,Under Construction
32947,2,Apartment,693,2.3,Cr,Andheri,Under Construction
32948,3,Apartment,857,3.05,Cr,Andheri,Under Construction
32949,3,Apartment,857,3.05,Cr,Andheri,Under Construction
32950,1,Apartment,375,1.45,Cr,Andheri,Under Construction
32951,1,Apartment,375,1.45,Cr,Andheri,Under Construction
32952,1,Apartment,441,1.55,Cr,Andheri,Under Construction
32953,1,Apartment,441,1.55,Cr,Andheri,Under Construction
32965,1,Apartment,550,1.5,Cr,Andheri,Ready to move
32990,2,Apartment,1283,2.85,Cr,Andheri,Ready to move
32991,5,Apartment,3500,12,Cr,Andheri,Ready to move
33079,3,Apartment,765,2.79,Cr,Andheri,Under Construction
33119,3,Apartment,1400,5.5,Cr,Andheri,Ready to move
33145,3,Apartment,2220,5,Cr,Andheri,Ready to move
33188,3,Apartment,1400,5.5,Cr,Andheri,Ready to move
33206,2,Apartment,1283,2.85,Cr,Andheri,Ready to move
33207,5,Apartment,3500,12,Cr,Andheri,Ready to move
33213,1,Apartment,550,1.5,Cr,Andheri,Ready to move
33240,2,Apartment,1000,2.9,Cr,Andheri,Ready to move
33241,3,Apartment,1300,4.6,Cr,Andheri,Ready to move
33313,4,Apartment,1746,5.15,Cr,Andheri,Under Construction
33352,3,Apartment,1090,4.5,Cr,Andheri,Under Construction
33355,3,Apartment,1185,3,Cr,Andheri,Ready to move
33428,1,Apartment,600,1.4,Cr,Andheri,Ready to move
33429,3,Apartment,1250,4.9,Cr,Andheri,Ready to move
33443,3,Apartment,1650,3.5,Cr,Andheri,Ready to move
33483,3,Apartment,1320,3.2,Cr,Andheri,Ready to move
33484,3,Apartment,1680,3.3,Cr,Andheri,Ready to move
33510,1,Apartment,700,1.2,Cr,Andheri,Ready to move
33553,3,Apartment,1031,3.6,Cr,Andheri,Under Construction
33554,3,Apartment,858,2.95,Cr,Andheri,Under Construction
33569,4,Apartment,1800,8.5,Cr,Andheri,Ready to move
33570,4,Apartment,3330,14.75,Cr,Andheri,Ready to move
33571,4,Apartment,3330,18,Cr,Andheri,Ready to move
33575,4,Apartment,2300,11,Cr,Andheri,Ready to move
33576,4,Apartment,3050,14,Cr,Andheri,Ready to move
33635,3,Apartment,1090,4.5,Cr,Andheri,Under Construction
33647,3,Apartment,1185,2.3,Cr,Andheri,Ready to move
33739,2,Apartment,1000,2.75,Cr,Andheri,Ready to move
33759,2,Apartment,649,2.11,Cr,Andheri,Under Construction
